datasetid,un_stats_sdg_goal_code
etablissements-artisanaux-actifs-au-31-12-2022,
referentiel-douanier-modeles-de-declaration-unmodtab,
posts_a_la_une,
referentiel-douanier-types-de-colis-unpkgtab,
distances-kilometriques-nc,
sempex_202105,"6,10"
indicateurs-cafat,3
etablissements-actifs-au-ridet,8
nb-consultations-publiques-marches-public-nc-par-collectivite,
importations-psychotropes-depuis-2007,
aires-protegees-en-province-nord,"2,12,14"
consommation-de-combustibles-depuis-2009,
batiments-administratifs-en-province-nord,
referentiel-douanier-natures-de-transaction-niveau1-untr1tab,
pil_jdd_substrats,
programmation-fpc,
voie-kone,
mises-a-leau-en-province-sud,
referentiel-douanier-localisations-des-marchandises-unshdtab,
stagiaires_fpc,
riife_missions,
referentiel-douanier-conditions-de-paiement-untoptab,
referentiel-douanier-types-de-conteneurs-unctntab,
entreprises_aemporter_clickandcollect_livraison,
referentiel-douanier-codes-documents-unatdtab,
effectifs_par_ecole,"4,5,9,10,11,16"
douanes-decisions-classement-tarifaire-d40,
pole-emploi-rome-arborescence-principale,
communes-nc,
sempex_202011,"6,10"
plages-en-province-sud,
formations-tourisme-province-sud,"4,8,12,13,14,15"
nomenclature-dactivites-francaise-naf-rev-2-code-ape,
pax-tontouta-depuis-2016,
exportation-metallurgique-depuis-1990,
lieux-de-sante-en-province-nord,"3,5,10,11,16"
reussite_baccalaureat,"4,5"
population-legale-de-la-nouvelle-caledonie,
troncvoi-kone,
referentiel-douanier-regimes-etendus-uncp4tab,
troncvoi-paita,
catalogue-outils-sensibilisation-eau,"6,9,13,15"
referentiel-douanier-tarif-douanier-untartab,
sempex_prix_medicaments_en_vigueur,"6,10"
riife_sites,
equipement-commercial-grand-noumea,
voie-montdore,
bsj-2019,
exportation-miniere-depuis-1965,
sempex_202001,"6,10"
etablissements-artisanaux-actifs-au-31-12-2019,
ilots-en-province-sud,
nb-consultations-publiques-marches-publics-nc-par-direction,
voie-pouembout,
liste-des-pays-et-territoires-etrangers,
bornes-de-recharge-pour-vehicules-electriques,
avp-province-sud,"8,9"
subventions_ville_de_noumea,"3,4,5,8,9,10,11,13,14,15,16"
referentiel-douanier-tarif-douanier-codes-sh-unhs6tab,
offres-emploi-stage-province-sud,"3,4,5,8,10,16"
referentiel-douanier-baremes-douaniers-unrtxtab,
aires-protegees-en-province-sud,"2,13,14"
depistage_crc,"3,10,16"
referentiel-douanier-incoterms-untodtab,
marinas-en-province-sud,
covid-19-centres-depistage-et-vaccination,
sempex_202004,"6,10"
referentiel-douanier-natures-de-transaction-niveau-2-untr2tab,
antibioresistance-bhre,
gisement-dechets-entreprises-2019,"8,9,11,12"
referentiel-douanier-transporteurs-uncartab,
rp-2019-indv-pnord,
adresse-kaala-gomen,
troncvoi-dumbea,
voie-kaala-gomen,
entreprises-actives-au-ridet,8
production-metallurgique-depuis-1985,
rendement-des-impots-depuis-2010,"3,4,7,9,10"
referentiel-douanier-tarif-douanier-chapitres-unhs2tab,
referentiel-douanier-locode-unloctab,
sempex_202106,"6,10"
voie-dumbea,
naissances-par-commune-de-1981-a-2017,
gr-province-nord,
effectifs_eleves_pre_bac_par_lycee,"4,5,8,10,16"
adresse-kone,
plages-en-province-nord,"13,14"
consommation-menages-2012,
referentiel-douanier-taux-de-remplissage-des-conteneurs-unindtab,
adresse-montdore,
offres-demploi,"5,8"
centres-de-vaccination-et-vaccinodromes,"3,4,5,6,10,11,16"
prix-des-produits-alimentaires-en-2021-pacific-dataviz-challenge,"2,10,13"
prix-des-produits-alimentaires-en-2020-pacific-dataviz-challenge,"2,10,13"
prix-des-produits-alimentaires-en-2022-pacific-dataviz-challenge,"2,10,13"
prix-des-produits-alimentaires-en-2019-pacific-dataviz-challenge,"2,10,13"
prix-des-produits-alimentaires-en-2023-pacific-dataviz-challenge,"2,10,13"
prix-des-produits-alimentaires-en-2018-pacific-dataviz-challenge,"2,10,13"
prix-des-produits-alimentaires-en-2017-pacific-dataviz-challenge,"2,10,13"
prix-des-produits-alimentaires-en-2016-pacific-dataviz-challenge,"2,10,13"
prix-des-produits-alimentaires-en-2014-pacific-dataviz-challenge,"2,10,13"
prix-des-produits-alimentaires-en-2015-pacific-dataviz-challenge,"2,10,13"
